name,link,price,price_currency,mileage,fuel_type,year,gearbox,horsepower,location,image_url,engine_capacity
Hyundai i40 1.7 CRDi Style,https://www.otomoto.pl/osobowe/oferta/hyundai-i40-ID6GCVHK.html,34 900,PLN,182 000 km,Diesel,2014 ,Manualna,116,Sadlno (Wielkopolskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjlwYmpvaGozMjk4YjEtT1RPTU9UT1BMIn0.wRd2E5PfhlPQESMK1Bya62Bxp007vguM71pUvjFBtts/image;s=320x240,1 685 cm3
Audi A4 Allroad,https://www.otomoto.pl/osobowe/oferta/audi-a4-allroad-2-0-tdi-174-km-klimatronic-tempomat-parktronic-ID6GC5oy.html,50 000,PLN,178 434 km,Diesel,2013 ,Manualna,176,Piaseczno (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imxmbjk1dmxhb2gwbS1PVE9NT1RPUEwifQ.kLvMyjr93Fg5OaIII9v-49l9Gg1MjPSMMTSSJeLqKEk/image;s=320x240,1 968 cm3
Volvo V40 D4 Drive-E Momentum,https://www.otomoto.pl/osobowe/oferta/volvo-v40-kola-zimowe-w-cenie-stan-bardzo-dobry-fv-vat-23-ID6GC5jF.html,60 500,PLN,204 000 km,Diesel,2016 ,Manualna,190,Myślenice (Małopolskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9nNXNja3A4cTVicjEtT1RPTU9UT1BMIn0.hR0_w29KPbiTlPfgZIZwgbYKHeAniaY_8FUeIxwULf0/image;s=320x240,1 969 cm3
Renault Scenic,https://www.otomoto.pl/osobowe/oferta/renault-scenic-renault-scenic-2013r-1-5-diesel-ID6GxiHL.html,17 500,PLN,301 000 km,Diesel,2013 ,Manualna,105,Zelów (Łódzkie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZyeHliZmpobTh0MjEtT1RPTU9UT1BMIn0.LdQbkR80tTqjAfM-u0u8-C6tXL4s-P0bSIsv1zIqd4I/image;s=320x240,1 461 cm3
Lancia Ypsilon 1.2 8V Black&Red S&S,https://www.otomoto.pl/osobowe/oferta/lancia-ypsilon-wersja-black-red-polski-salon-niski-org-przebieg-1-2-69km-zamiana-ID6GrctG.html,21 900,PLN,130 000 km,Benzyna,2012 ,Manualna,69,Łódź (Łódzkie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9xOWo4d2Zkam1nZy1PVE9NT1RPUEwifQ.7H2mt7I6crxHuWVctYRhlvhSLFO0i20wzAIJGsSrRH8/image;s=320x240,1 242 cm3
Honda CR-V 1.6i DTEC 2WD Elegance,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6GCVHj.html,55 900,PLN,214 000 km,Diesel,2015 ,Manualna,120,Sadlno (Wielkopolskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBubTJnNnFrbWF6YjEtT1RPTU9UT1BMIn0.UtaqndIW6q7qJwIxMmvgy1Hywd8zvPm_Jntbl9y3OEA/image;s=320x240,1 597 cm3
Audi A3 2.0 FSI Ambiente,https://www.otomoto.pl/osobowe/oferta/audi-a3-audi-a3-8p-2-0-fsi-ID6GD9vF.html,7 500,PLN,250 000 km,Benzyna,2004 ,Manualna,149,Ostrów Wielkopolski (Wielkopolskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjN4aDU5Y2t1dGd2eDItT1RPTU9UT1BMIn0.EV0tt_dRLPG4Oy03w8e9nohf-IBGaWTBjR8-Yoop2D8/image;s=320x240,1 984 cm3
BMW X1 xDrive18d,https://www.otomoto.pl/osobowe/oferta/bmw-x1-4x4-xdrive-dach-panoramiczny-panorama-ID6GD5zA.html,52 000,PLN,133 126 km,Diesel,2011 ,Manualna,143,Smolec (Dolnośląskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InR5bm5mb2czaHZpay1PVE9NT1RPUEwifQ.njrlBsw7s8bBK3hKXyy43qT_c5ZKYbH2SN_EOblNL-w/image;s=320x240,1 995 cm3
Hyundai I30,https://www.otomoto.pl/osobowe/oferta/hyundai-i30-1-4kat100km-ledy-klimatronik-pdc-z-niemiec-ID6GCClq.html,31 900,PLN,91 000 km,Benzyna,2013 ,Manualna,99,Ostrów Mazowiecka (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImViYWV4bmlyNmNsbC1PVE9NT1RPUEwifQ.myK0zuvUW3MYzKXApic6Jxpr0cqOe_ti2E7_vOah3UE/image;s=320x240,1 396 cm3
Opel Adam 1.2 White Link,https://www.otomoto.pl/osobowe/oferta/opel-adam-perfekcyjny-stan-klimatyzacja-serwis-do-samego-konca-ID6GC53a.html,24 700,PLN,112 000 km,Benzyna,2015 ,Manualna,70,Wrocław (Dolnośląskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImU0b3NtZDM4N3dqYjMtT1RPTU9UT1BMIn0.XlTqLpQ8aPPibovBaDb0W6H6bRnRCzRAIiM89VNib7I/image;s=320x240,1 229 cm3
